ID,"Nom complet",Rôles,Cours,Courriel
1,"Visiteur anonyme  ",,,ro***@localhost
3,"First001 Last001",Enseignant,"MODELE_REPORT2, Modèle de cours Reporting",us***@example.com
4,"First002 Last002",,,us***@example.com
5,"First003 Last003",,,us***@example.com
6,"First004 Last004",,,us***@example.com
7,"First005 Last005",,,us***@example.com
8,"First006 Last006",,,us***@example.com
9,"First007 Last007",,,us***@example.com
10,"First008 Last008",,,us***@example.com
11,"First009 Last009",Étudiant,MODELE_REPORT2,us***@example.com
12,"First010 Last010",Étudiant,"MODELE_REPORT2, Modèle de cours Reporting",us***@example.com
13,"First011 Last011",Étudiant,"MODELE_REPORT2, Modèle de cours Reporting",us***@example.com
14,"First012 Last012",Étudiant,"MODELE_REPORT2, Modèle de cours Reporting",us***@example.com
15,"First013 Last013",Étudiant,"MODELE_REPORT2, Modèle de cours Reporting",us***@example.com
16,"First014 Last014",,,us***@example.com
17,"First015 Last015",,,us***@example.com
18,"First016 Last016",,,us***@example.com
19,"First017 Last017",,,us***@example.com
20,"First018 Last018",,,us***@example.com
21,"First019 Last019",,,us***@example.com
22,"First020 Last020",,,us***@example.com
23,"First021 Last021",,,us***@example.com
24,"First022 Last022",,,us***@example.com
25,"First023 Last023",,,us***@example.com
26,"First024 Last024",,,us***@example.com
27,"First025 Last025",,,us***@example.com
28,"First026 Last026",,,us***@example.com
29,"First027 Last027",,,us***@example.com
30,"First028 Last028",,,us***@example.com
31,"First029 Last029",,,us***@example.com
32,"First030 Last030",,,us***@example.com
33,"First031 Last031",,,us***@example.com
34,"First032 Last032",,,us***@example.com
35,"First033 Last033",,,us***@example.com
36,"First034 Last034",,,us***@example.com
37,"First035 Last035",,,us***@example.com
38,"First036 Last036",,,us***@example.com
39,"First037 Last037",,,us***@example.com
40,"First038 Last038",,,us***@example.com
41,"First039 Last039",,,us***@example.com
42,"First040 Last040",,,us***@example.com
43,"First041 Last041",,,us***@example.com
44,"First042 Last042",,,us***@example.com
45,"First043 Last043",,,us***@example.com
46,"First044 Last044",,,us***@example.com
47,"First045 Last045",,,us***@example.com
48,"First046 Last046",,,us***@example.com
49,"First047 Last047",,,us***@example.com
50,"First048 Last048",,,us***@example.com
51,"First049 Last049",,,us***@example.com
52,"First050 Last050",,,us***@example.com
53,"First051 Last051",,,us***@example.com
54,"First052 Last052",,,us***@example.com
55,"First053 Last053",,,us***@example.com
56,"First054 Last054",,,us***@example.com
57,"First055 Last055",,,us***@example.com
58,"First056 Last056",,,us***@example.com
59,"First057 Last057",,,us***@example.com
60,"First058 Last058",,,us***@example.com
61,"First059 Last059",,,us***@example.com
62,"First060 Last060",,,us***@example.com
63,"First061 Last061",,,us***@example.com
64,"First062 Last062",,,us***@example.com
65,"First063 Last063",,,us***@example.com
66,"First064 Last064",,,us***@example.com
67,"First065 Last065",,,us***@example.com
68,"First066 Last066",,,us***@example.com
69,"First067 Last067",,,us***@example.com
70,"First068 Last068",,,us***@example.com
71,"First069 Last069",,,us***@example.com
72,"First070 Last070",,,us***@example.com
73,"First071 Last071",,,us***@example.com
74,"First072 Last072",,,us***@example.com
75,"First073 Last073",,,us***@example.com
76,"First074 Last074",,,us***@example.com
77,"First075 Last075",,,us***@example.com
78,"First076 Last076",,,us***@example.com
79,"First077 Last077",,,us***@example.com
80,"First078 Last078",,,us***@example.com
81,"First079 Last079",,,us***@example.com
82,"First080 Last080",,,us***@example.com
83,"First081 Last081",,,us***@example.com
84,"First082 Last082",,,us***@example.com
85,"First083 Last083",,,us***@example.com
86,"First084 Last084",,,us***@example.com
87,"First085 Last085",,,us***@example.com
88,"First086 Last086",,,us***@example.com
89,"First087 Last087",,,us***@example.com
90,"First088 Last088",,,us***@example.com
91,"First089 Last089",Étudiant,MODELE_REPORT2,us***@example.com
92,"First090 Last090",Étudiant,MODELE_REPORT2,us***@example.com
93,"First091 Last091",Étudiant,MODELE_REPORT2,us***@example.com
94,"First092 Last092",Étudiant,MODELE_REPORT2,us***@example.com
95,"First093 Last093",Étudiant,MODELE_REPORT2,us***@example.com
96,"First094 Last094",Étudiant,MODELE_REPORT2,us***@example.com
97,"First095 Last095",Étudiant,MODELE_REPORT2,us***@example.com
98,"First096 Last096",Étudiant,MODELE_REPORT2,us***@example.com
99,"First097 Last097",,,us***@example.com
100,"First098 Last098",,,us***@example.com
101,"First099 Last099",,,us***@example.com
102,"First100 Last100",,,us***@example.com
2,"Administrateur Utilisateur",Enseignant,MODELE_REPORT2,at***@gmail.com
